x,y,z,00:13:ce:8f:77:43_RSSI,00:13:ce:8f:78:d9_RSSI,00:13:ce:95:de:7e_RSSI,00:13:ce:95:e1:6f_RSSI,00:13:ce:97:78:79_RSSI
4.2,30.59,1.2,-65.66552353614428,-27.30951024026382,-72.58802337861928,-53.42986063594832,-77.55413689329866
3.0,30.59,1.2,-61.49871403320272,-29.479284636804863,-69.77971940325796,-47.71412250768216,-78.01164031701808
3.0,30.59,1.2,-66.27550086241017,-30.863684158291388,-72.79616843233102,-58.97920198378036,-79.55060141628539
3.0,30.59,1.2,-62.56907018265761,-29.90247775590977,-67.59891868198508,-51.73734452424655,-80.33133109127162
3.0,30.59,1.2,-67.87203991115354,-27.746028697620414,-70.57486422646785,-54.35184488293672,-75.45999435056308
1.8,30.59,1.2,-59.73900857585492,-30.940023924223574,-72.56761588967647,-52.16203375830624,-79.43075976934654
1.8,30.59,1.2,-71.21756006578454,-31.1536388449826,-70.70297099928436,-52.130812867400486,
1.8,30.59,1.2,-62.72072585958766,-36.637537815627816,-69.64951448273078,-51.70233823239049,-79.47128104620114
1.8,30.59,1.2,-65.17650816361895,-28.440070650304172,-70.28498402973293,-56.7469208770007,-81.60759730664394
5.4,31.59,1.2,-59.9097803858683,-30.00245783166235,-72.30860938496848,-56.23948333583478,
5.4,31.59,1.2,-67.66252406316791,-29.745807262578438,-71.82236768723328,-55.39304103842969,-80.42038844361004
5.4,31.59,1.2,-64.90909167724544,-33.56911705589843,-73.77428762158229,-61.00104908263766,-73.72759957154628
5.4,31.59,1.2,-70.39096259976483,-35.254243903539006,-72.77134920898136,-55.24258601021223,
4.2,31.59,1.2,-65.18573279954099,-38.71312650881212,-81.0,-55.43422483341503,-76.87714014732245
4.2,31.59,1.2,,-35.17138176047678,-79.0,-62.91912811334592,
4.2,31.59,1.2,-65.16247454542949,-32.85550808230841,-68.0,-55.87462321451773,-78.55489532554688
4.2,31.59,1.2,,-34.52219724582088,,-59.54541016491258,
3.0,31.59,1.2,-62.08400468251297,-34.6966954562252,,-55.91240324814221,
3.0,31.59,1.2,,-37.19382820795271,,-58.97647765900032,
3.0,31.59,1.2,-70.31432301876201,-36.98075179764694,,-57.765242561322545,
3.0,31.59,1.2,-68.9222006031186,-32.36896464933355,,-56.71612712404267,
1.8,31.59,1.2,-63.28956899959361,-35.18644896817299,,-55.81344120380354,
1.8,31.59,1.2,-73.01829115691189,-34.98754077134719,,-65.55606059811626,
1.8,31.59,1.2,-67.89719370978008,-38.21969574806696,,-52.41348664958936,
1.8,31.59,1.2,-68.3571019578179,-34.92730330418491,,-56.053902728127845,
5.4,26.04,1.2,-60.58333710361056,-31.288505728552476,-68.16686658334599,-56.87414384787349,
5.4,26.04,1.2,-63.064751454088935,-38.40220046560542,-72.28894923006541,-51.68011840404353,-83.0
5.4,26.04,1.2,-68.26301175859076,-28.930281439286244,-71.39802862955864,-51.37284458955024,-83.0
5.4,26.04,1.2,-62.39429551971064,-34.15417912456281,-69.37284458955025,-57.13798016754902,-79.29539009109124
4.2,26.04,1.2,-60.556578276452214,-33.572000492889316,-66.58466012729062,-50.072684952745135,-78.54529979455084
4.2,26.04,1.2,-64.91045761775554,-44.786498070924026,-71.0791610266831,-57.594925683951075,-78.73820760826862
4.2,26.04,1.2,-60.27335030369146,-26.434258364610002,-64.6937562461991,-46.449535969743714,-80.65002170584395
4.2,26.04,1.2,-68.08815776031477,-39.30392942972325,-70.84441739706546,-50.45176377790728,-78.02636452955218
3.0,26.04,1.2,-63.947514751613554,-39.88497618437163,-72.16615605036984,-58.09240966355603,-78.0
3.0,26.04,1.2,-59.57388523437973,-42.183203476766096,-72.25201097769207,-44.191673176336835,
3.0,26.04,1.2,-60.740821982685496,-39.61688354510352,-72.29499476569787,-53.80301147560826,-82.24188067583034
3.0,26.04,1.2,-73.42038844361005,-39.34858018325704,-69.70053198398185,-49.11311296142414,
1.8,26.04,1.2,-61.93919145744286,-36.49800066799186,-67.75384868004473,-52.964410917308456,
1.8,26.04,1.2,-64.45191882136065,-36.72964394784468,-71.93115806727066,-59.687386097497146,
1.8,26.04,1.2,-58.864347720146256,-38.334201525226014,-76.0586781195462,-45.3481002854477,
1.8,26.04,1.2,-66.50444954033784,-37.52243845641428,-69.89570536812259,-53.96479053433658,-79.30843835705681
5.4,27.04,1.2,-67.0,,-73.0,,
5.4,27.04,1.2,-67.0,-31.0,-73.47128104620114,-49.0,
5.4,27.04,1.2,-71.94860370725651,-35.471281046201135,-77.08860361004034,-55.61710728255498,-78.69099285040598
5.4,27.04,1.2,-67.3564677519372,-36.67669850706362,-71.87820636145526,-53.22515398451213,-84.0
4.2,27.04,1.2,-64.67363205192287,-35.640468339958204,-71.30843835705681,-53.55413689329866,
4.2,27.04,1.2,,-39.16872120408981,-68.43918851030485,-55.357154974897554,
4.2,27.04,1.2,-67.70593202232493,-40.28345739970742,-69.56538105964334,-54.95932193394832,-80.43051936531157
4.2,27.04,1.2,-68.1998743624437,-36.76843548696711,-67.94256209240228,-56.41384313860342,
4.2,27.04,1.2,-65.69773138419852,-31.09886428267304,-71.6105894514286,-51.721988085843535,-82.0
4.2,27.04,1.2,-63.88215034839366,-33.631501004781214,-72.02982990184461,-52.0365534617602,-72.10809404793572
3.0,27.04,1.2,-55.54546023489379,-35.11828621964526,-67.80684117237772,-45.13241645127752,-81.48304604390744
3.0,27.04,1.2,-66.92488456967509,-37.39543712224913,-68.20656140996309,-48.08383012825088,-81.82120841749085
3.0,27.04,1.2,-63.56038754337426,-32.42453444012049,-71.86313651775625,-55.53629658905489,
3.0,27.04,1.2,-62.94256209240228,-34.801110174301414,-69.91938568674263,-49.48861748158497,-79.40265077535246
1.8,27.04,1.2,-64.5449759734666,-36.73610974564324,-73.27989984044562,-49.986708984289535,-83.30843835705681
1.8,27.04,1.2,-62.732804527914325,-37.17916929249594,-64.62439372045849,-50.871488489272956,-78.86166443072011
1.8,27.04,1.2,-60.18092388024961,-33.380946141143255,-68.30811245792353,-52.68182386377619,
1.8,27.04,1.2,-70.6459661518551,-38.81811344143907,-74.69773138419852,-46.01431325417963,
5.4,28.04,1.2,-61.72759957154628,-28.0,-66.3079448912613,-50.263011758590764,-79.30843835705681
5.4,28.04,1.2,-65.62288599493496,-25.789903305774445,-68.83521420453123,-50.41634576923709,-80.01536469951455
5.4,28.04,1.2,-61.86166443072011,-30.07046648699424,-67.23481060346055,-51.77845657353203,-80.13883366555339
